,SName,DName,CName,Enroll12,NumTstTakr,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,NumGE21,PctGE21,Year,Unnamed: 17
233,California Virtual Academy San Mateo,Jefferson Elementary,San Mateo,94.0,4.0,,,,,*,*,2018-19,
234,Calipatria High,Calipatria Unified,Imperial,91.0,19.0,20.0,21.0,19.0,20.0,9,47.37,2018-19,
235,Calistoga Junior-Senior High,Calistoga Joint Unified,Napa,45.0,13.0,,,,,*,*,2018-19,
236,Camino Nuevo Charter High,Los Angeles Unified,Los Angeles,86.0,34.0,17.0,16.0,15.0,15.0,4,11.76,2018-19,
237,Camino Nuevo High #2,Los Angeles Unified,Los Angeles,112.0,82.0,16.0,15.0,16.0,15.0,3,3.66,2018-19,
238,Campo High (Continuation),Mountain Empire Unified,San Diego,3.0,1.0,,,,,*,*,2018-19,
239,Campolindo High,Acalanes Union High,Contra Costa,340.0,161.0,30.0,30.0,28.0,28.0,149,92.55,2018-19,
240,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,32.0,19.0,18.0,18.0,18.0,9,28.13,2018-19,
241,Canyon Crest Academy,San Dieguito Union High,San Diego,635.0,409.0,30.0,31.0,30.0,29.0,392,95.84,2018-19,
242,Canyon High,Orange Unified,Orange,572.0,119.0,25.0,25.0,24.0,24.0,92,77.31,2018-19,
243,Canyon High,William S. Hart Union High,Los Angeles,536.0,65.0,23.0,23.0,22.0,22.0,39,60.00,2018-19,
244,Canyon Springs High,Moreno Valley Unified,Riverside,494.0,31.0,22.0,21.0,21.0,19.0,16,51.61,2018-19,
245,Capistrano Valley High,Capistrano Unified,Orange,521.0,151.0,26.0,27.0,26.0,25.0,129,85.43,2018-19,
246,Capital City Independent Study,Sacramento City Unified,Sacramento,147.0,0.0,,,,,,,2018-19,
247,Capuchino High,San Mateo Union High,San Mateo,275.0,52.0,20.0,20.0,20.0,20.0,21,40.38,2018-19,
248,Carlmont High,Sequoia Union High,San Mateo,522.0,173.0,27.0,26.0,27.0,26.0,142,82.08,2018-19,
249,Carlsbad High,Carlsbad Unified,San Diego,525.0,154.0,24.0,24.0,24.0,23.0,110,71.43,2018-19,
250,Carlsbad Seaside Academy,Carlsbad Unified,San Diego,15.0,1.0,,,,,*,*,2018-19,
251,Carmel High,Carmel Unified,Monterey,207.0,121.0,26.0,26.0,25.0,25.0,93,76.86,2018-19,
252,Carpinteria Senior High,Carpinteria Unified,Santa Barbara,148.0,39.0,22.0,19.0,22.0,22.0,21,53.85,2018-19,
253,Carson Senior High,Los Angeles Unified,Los Angeles,334.0,26.0,20.0,20.0,20.0,19.0,11,42.31,2018-19,
254,Carter G. Woodson Public Charter,Fresno Unified,Fresno,135.0,3.0,,,,,*,*,2018-19,
255,Caruthers High,Caruthers Unified,Fresno,145.0,8.0,,,,,*,*,2018-19,
256,Casa Grande High,Petaluma Joint Union High,Sonoma,425.0,55.0,24.0,24.0,24.0,23.0,40,72.73,2018-19,
257,Casa Roble Fundamental High,San Juan Unified,Sacramento,255.0,19.0,22.0,20.0,21.0,22.0,10,52.63,2018-19,
258,Castle Park Senior High,Sweetwater Union High,San Diego,447.0,23.0,21.0,20.0,21.0,20.0,9,39.13,2018-19,
259,Castle Rock,Del Norte County Office of Education,Del Norte,108.0,0.0,,,,,,,2018-19,
260,Castlemont High,Oakland Unified,Alameda,182.0,1.0,,,,,*,*,2018-19,
261,Castro Valley High,Castro Valley Unified,Alameda,644.0,106.0,26.0,25.0,25.0,25.0,82,77.36,2018-19,
262,CATCH Prep Charter High Inc.,Los Angeles Unified,Los Angeles,37.0,14.0,,,,,*,*,2018-19,
263,Cathedral City High,Palm Springs Unified,Riverside,390.0,31.0,21.0,20.0,19.0,20.0,11,35.48,2018-19,
264,Ceiba College Preparatory Academy,Pajaro Valley Unified,Santa Cruz,63.0,2.0,,,,,*,*,2018-19,
265,Centennial High,Corona-Norco Unified,Riverside,786.0,163.0,21.0,21.0,22.0,21.0,84,51.53,2018-19,
266,Centennial High,Compton Unified,Los Angeles,214.0,153.0,14.0,13.0,15.0,15.0,4,2.61,2018-19,
267,Centennial High,Kern High,Kern,471.0,51.0,22.0,21.0,23.0,22.0,27,52.94,2018-19,
268,Center High,Center Joint Unified,Sacramento,315.0,14.0,,,,,*,*,2018-19,
269,Centinela Valley Independent Study,Centinela Valley Union High,Los Angeles,18.0,0.0,,,,,,,2018-19,
270,Central City Value,Los Angeles Unified,Los Angeles,105.0,15.0,21.0,21.0,19.0,20.0,8,53.33,2018-19,
271,Central Coast New Tech High,Lucia Mar Unified,San Luis Obispo,61.0,13.0,,,,,*,*,2018-19,
272,Central High East Campus,Central Unified,Fresno,913.0,37.0,22.0,21.0,20.0,22.0,20,54.05,2018-19,
273,Central Unified Alternative/Opportunity,Central Unified,Fresno,92.0,0.0,,,,,,,2018-19,
274,Central Union High,Central Union High,Imperial,403.0,56.0,21.0,20.0,21.0,21.0,26,46.43,2018-19,
275,Central Valley High,Ceres Unified,Stanislaus,439.0,9.0,,,,,*,*,2018-19,
276,Central Valley High,Gateway Unified,Shasta,133.0,3.0,,,,,*,*,2018-19,
277,Century Academy,Conejo Valley Unified,Ventura,28.0,2.0,,,,,*,*,2018-19,
278,Century High,Santa Ana Unified,Orange,417.0,39.0,19.0,18.0,18.0,18.0,11,28.21,2018-19,
279,Ceres High,Ceres Unified,Stanislaus,381.0,23.0,19.0,17.0,18.0,19.0,4,17.39,2018-19,
280,Cerritos High,ABC Unified,Los Angeles,509.0,93.0,27.0,28.0,28.0,26.0,83,89.25,2018-19,
281,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,22.0,19.0,19.0,18.0,18.0,7,31.82,2018-19,
282,Cesar E. Chavez High,Delano Joint Union High,Kern,316.0,30.0,22.0,21.0,22.0,21.0,20,66.67,2018-19,
283,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Los Angeles Unified,Los Angeles,108.0,28.0,18.0,16.0,18.0,17.0,8,28.57,2018-19,
284,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87.0,39.0,17.0,16.0,17.0,17.0,7,17.95,2018-19,
285,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,Los Angeles Unified,Los Angeles,96.0,2.0,,,,,*,*,2018-19,
286,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,Los Angeles Unified,Los Angeles,62.0,2.0,,,,,*,*,2018-19,
287,Chaffey District Online High,Chaffey Joint Union High,San Bernardino,31.0,6.0,,,,,*,*,2018-19,
288,Chaffey High,Chaffey Joint Union High,San Bernardino,782.0,31.0,21.0,20.0,20.0,20.0,14,45.16,2018-19,
289,CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles Unified,Los Angeles,182.0,52.0,22.0,22.0,18.0,20.0,24,46.15,2018-19,
290,Channel Islands High,Oxnard Union High,Ventura,611.0,74.0,19.0,18.0,18.0,18.0,17,22.97,2018-19,
291,Chaparral High,Temecula Valley Unified,Riverside,722.0,178.0,23.0,21.0,21.0,22.0,110,61.80,2018-19,
292,Chaparral High,Snowline Joint Unified,San Bernardino,98.0,1.0,,,,,*,*,2018-19,
293,Charter Community School Home Study Academy,El Dorado County Office of Education,El Dorado,111.0,2.0,,,,,*,*,2018-19,
294,Charter Oak High,Charter Oak Unified,Los Angeles,364.0,38.0,22.0,21.0,22.0,22.0,25,65.79,2018-19,
295,Charter School of San Diego,San Diego Unified,San Diego,499.0,7.0,,,,,*,*,2018-19,
296,Chatsworth Charter High,Los Angeles Unified,Los Angeles,448.0,19.0,21.0,20.0,21.0,20.0,10,52.63,2018-19,
297,Chawanakee Academy Charter,Chawanakee Unified,Madera,45.0,1.0,,,,,*,*,2018-19,
298,Chesnut High (Continuation),Coalinga-Huron Unified,Fresno,17.0,1.0,,,,,*,*,2018-19,
299,Chester Junior/Senior High,Plumas Unified,Plumas,22.0,3.0,,,,,*,*,2018-19,
300,Cheviot Hills Continuation,Los Angeles Unified,Los Angeles,25.0,1.0,,,,,*,*,2018-19,
301,Chico High,Chico Unified,Butte,475.0,46.0,25.0,23.0,24.0,24.0,32,69.57,2018-19,
302,Chino High,Chino Valley Unified,San Bernardino,432.0,16.0,22.0,21.0,20.0,22.0,8,50.00,2018-19,
303,Chino Hills High,Chino Valley Unified,San Bernardino,704.0,79.0,25.0,24.0,24.0,23.0,58,73.42,2018-19,
304,Chowchilla Union High,Chowchilla Union High,Madera,262.0,18.0,21.0,20.0,20.0,21.0,9,50.00,2018-19,
305,Christopher High,Gilroy Unified,Santa Clara,397.0,100.0,23.0,22.0,23.0,22.0,63,63.00,2018-19,
306,Chula Vista Learning Community Charter,Chula Vista Elementary,San Diego,99.0,11.0,,,,,*,*,2018-19,
307,Chula Vista Senior High,Sweetwater Union High,San Diego,672.0,83.0,20.0,20.0,19.0,20.0,35,42.17,2018-19,
308,Circle of Independent Learning,Fremont Unified,Alameda,71.0,4.0,,,,,*,*,2018-19,
309,CIS Academy,Pasadena Unified,Los Angeles,115.0,1.0,,,,,*,*,2018-19,
310,Citrus High (Continuation),Fontana Unified,San Bernardino,181.0,103.0,12.0,10.0,14.0,12.0,0,0.00,2018-19,
311,Citrus Hill High,Val Verde Unified,Riverside,481.0,4.0,,,,,*,*,2018-19,
312,Citrus Valley High,Redlands Unified,San Bernardino,490.0,33.0,24.0,23.0,23.0,23.0,20,60.61,2018-19,
313,City Arts and Tech High,San Francisco Unified,San Francisco,67.0,7.0,,,,,*,*,2018-19,
314,City Heights Preparatory Charter,San Diego Unified,San Diego,4.0,1.0,,,,,*,*,2018-19,
315,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,95.0,17.0,19.0,18.0,18.0,18.0,7,41.18,2018-19,
316,City of Angels,Los Angeles Unified,Los Angeles,292.0,2.0,,,,,*,*,2018-19,
317,Civicorps Corpsmember Academy,Oakland Unified,Alameda,60.0,0.0,,,,,,,2018-19,
318,Clairemont High,San Diego Unified,San Diego,207.0,27.0,25.0,25.0,24.0,24.0,19,70.37,2018-19,
319,Claremont High,Claremont Unified,Los Angeles,591.0,139.0,25.0,24.0,24.0,24.0,103,74.10,2018-19,
320,Clarksville Charter,Buckeye Union Elementary,El Dorado,25.0,0.0,,,,,,,2018-19,
321,Classical Academy High,Escondido Union High,San Diego,298.0,69.0,27.0,27.0,27.0,26.0,62,89.86,2018-19,
322,Clayton Valley Charter High,Contra Costa County Office of Education,Contra Costa,482.0,130.0,25.0,24.0,23.0,24.0,95,73.08,2018-19,
323,Clear Lake High,Lakeport Unified,Lake,80.0,2.0,,,,,*,*,2018-19,
324,Cloverdale High,Cloverdale Unified,Sonoma,70.0,5.0,,,,,*,*,2018-19,
325,Clovis East High,Clovis Unified,Fresno,584.0,55.0,22.0,21.0,22.0,23.0,31,56.36,2018-19,
326,Clovis High,Clovis Unified,Fresno,733.0,88.0,24.0,22.0,22.0,22.0,57,64.77,2018-19,
327,Clovis North High,Clovis Unified,Fresno,576.0,124.0,27.0,27.0,27.0,27.0,111,89.52,2018-19,
328,Clovis Online Charter,Clovis Unified,Fresno,114.0,3.0,,,,,*,*,2018-19,
329,Clovis West High,Clovis Unified,Fresno,486.0,84.0,23.0,24.0,24.0,23.0,58,69.05,2018-19,
330,Coachella Valley High,Coachella Valley Unified,Riverside,607.0,88.0,18.0,16.0,19.0,18.0,18,20.45,2018-19,
331,Coalinga High,Coalinga-Huron Unified,Fresno,236.0,4.0,,,,,*,*,2018-19,
332,Coast High,Huntington Beach Union High,Orange,139.0,1.0,,,,,*,*,2018-19,
333,Coast Union High,Coast Unified,San Luis Obispo,39.0,6.0,,,,,*,*,2018-19,
334,Coastal Academy Charter,Oceanside Unified,San Diego,48.0,1.0,,,,,*,*,2018-19,
335,Cobalt Institute of Math and Science Academy,Victor Valley Union High,San Bernardino,103.0,19.0,20.0,18.0,19.0,19.0,7,36.84,2018-19,
336,Cold Stream Alternative,Tahoe-Truckee Unified,Placer,3.0,1.0,,,,,*,*,2018-19,
337,Coleville High,Eastern Sierra Unified,Mono,17.0,1.0,,,,,*,*,2018-19,
338,Colfax High,Placer Union High,Placer,125.0,31.0,24.0,22.0,22.0,22.0,20,64.52,2018-19,
339,Coliseum College Prep Academy,Oakland Unified,Alameda,63.0,9.0,,,,,*,*,2018-19,
340,College and Career Preparatory Academy,Orange County Department of Education,Orange,96.0,0.0,,,,,,,2018-19,
341,College Bridge Academy,Inyo County Office of Education,Inyo,86.0,0.0,,,,,,,2018-19,
342,College Park High,Mt. Diablo Unified,Contra Costa,443.0,70.0,25.0,24.0,24.0,23.0,53,75.71,2018-19,
343,Collegiate Charter High of Los Angeles,Los Angeles Unified,Los Angeles,34.0,0.0,,,,,,,2018-19,
344,Colony High,Chaffey Joint Union High,San Bernardino,539.0,55.0,20.0,20.0,20.0,20.0,22,40.00,2018-19,
345,Colton High,Colton Joint Unified,San Bernardino,445.0,71.0,18.0,17.0,19.0,18.0,14,19.72,2018-19,
346,Colusa Alternative Home,Colusa Unified,Colusa,18.0,0.0,,,,,,,2018-19,
347,Colusa High,Colusa Unified,Colusa,81.0,5.0,,,,,*,*,2018-19,
348,Come Back Butte Charter,Butte County Office of Education,Butte,29.0,0.0,,,,,,,2018-19,
349,Come Back Charter,Merced County Office of Education,Merced,19.0,0.0,,,,,,,2018-19,
350,Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,103.0,33.0,15.0,14.0,17.0,15.0,2,6.06,2018-19,
351,Community Collaborative Charter,Acton-Agua Dulce Unified,Los Angeles,91.0,0.0,,,,,,,2018-19,
352,Community Collaborative Charter,Twin Rivers Unified,Sacramento,154.0,0.0,,,,,,,2018-19,
353,Community Collaborative Virtual - Sage Oak Charter,Helendale Elementary,San Bernardino,37.0,0.0,,,,,,,2018-19,
354,Compass Charter Schools of Fresno,Orange Center,Fresno,10.0,1.0,,,,,*,*,2018-19,
355,Compass Charter Schools of Los Angeles,Acton-Agua Dulce Unified,Los Angeles,45.0,1.0,,,,,*,*,2018-19,
356,Compass Charter Schools of San Diego,Mountain Empire Unified,San Diego,32.0,1.0,,,,,*,*,2018-19,
357,Compton Early College High,Compton Unified,Los Angeles,65.0,64.0,20.0,18.0,19.0,19.0,22,34.38,2018-19,
358,Compton High,Compton Unified,Los Angeles,354.0,274.0,15.0,13.0,16.0,15.0,14,5.11,2018-19,
359,Concord High,Mt. Diablo Unified,Contra Costa,369.0,24.0,25.0,24.0,24.0,23.0,21,87.50,2018-19,
360,Condor High,Oxnard Union High,Ventura,214.0,3.0,,,,,*,*,2018-19,
361,Connecting Waters Charter,Waterford Unified,Stanislaus,177.0,5.0,,,,,*,*,2018-19,
362,Connections Visual and Performing Arts Academy,Summerville Union High,Tuolumne,43.0,0.0,,,,,,,2018-19,
363,Conservatory of Vocal/Instrumental Arts High,Oakland Unified,Alameda,13.0,1.0,,,,,*,*,2018-19,
364,Contra Costa School of Performing Arts,Contra Costa County Office of Education,Contra Costa,16.0,3.0,,,,,*,*,2018-19,
365,Contreras Learning Center-Academic Leadership Community,Los Angeles Unified,Los Angeles,84.0,58.0,14.0,13.0,16.0,15.0,3,5.17,2018-19,
366,Contreras Learning Center-Los Angeles School of Global Studies,Los Angeles Unified,Los Angeles,70.0,6.0,,,,,*,*,2018-19,
367,Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,90.0,40.0,16.0,14.0,16.0,15.0,3,7.50,2018-19,
368,Corcoran High,Corcoran Joint Unified,Kings,169.0,40.0,18.0,17.0,18.0,19.0,10,25.00,2018-19,
369,Cordova High,Folsom-Cordova Unified,Sacramento,386.0,23.0,23.0,23.0,22.0,21.0,14,60.87,2018-19,
370,CORE Butte Charter,Butte County Office of Education,Butte,113.0,10.0,,,,,*,*,2018-19,
371,CORE Charter,Camptonville Elementary,Yuba,42.0,4.0,,,,,*,*,2018-19,
372,CORE Placer Charter,Placer County Office of Education,Placer,49.0,2.0,,,,,*,*,2018-19,
373,Corning High,Corning Union High,Tehama,206.0,113.0,18.0,18.0,18.0,17.0,33,29.20,2018-19,
374,Corona del Mar High,Newport-Mesa Unified,Orange,458.0,300.0,27.0,28.0,26.0,26.0,265,88.33,2018-19,
375,Corona High,Corona-Norco Unified,Riverside,581.0,108.0,19.0,18.0,19.0,19.0,34,31.48,2018-19,
376,Coronado High,Coronado Unified,San Diego,291.0,128.0,26.0,25.0,25.0,25.0,100,78.13,2018-19,
377,Corona-Norco Alternative,Corona-Norco Unified,Riverside,65.0,0.0,,,,,,,2018-19,
378,Costa Mesa High,Newport-Mesa Unified,Orange,286.0,30.0,24.0,23.0,21.0,22.0,19,63.33,2018-19,
379,Cosumnes Oaks High,Elk Grove Unified,Sacramento,580.0,143.0,24.0,23.0,23.0,23.0,100,69.93,2018-19,
380,County Collaborative Charter,Mountain Empire Unified,San Diego,39.0,0.0,,,,,,,2018-19,
381,Covina High,Covina-Valley Unified,Los Angeles,270.0,9.0,,,,,*,*,2018-19,
382,Crawford High,San Diego Unified,San Diego,218.0,37.0,19.0,18.0,18.0,19.0,11,29.73,2018-19,
383,Creative Connections Arts Academy,Twin Rivers Unified,Sacramento,34.0,0.0,,,,,,,2018-19,
384,Credo High,Cotati-Rohnert Park Unified,Sonoma,65.0,11.0,,,,,*,*,2018-19,
385,Crenshaw Science Technology Engineering Math and Medicine Magnet,Los Angeles Unified,Los Angeles,216.0,33.0,16.0,14.0,16.0,15.0,3,9.09,2018-19,
386,Crescent Valley Public Charter II,Stone Corral Elementary,Tulare,35.0,0.0,,,,,,,2018-19,
387,Crescent View South II,Westside Elementary,Fresno,66.0,0.0,,,,,,,2018-19,
388,Crescent View West Public Charter,Fresno County Office of Education,Fresno,140.0,5.0,,,,,*,*,2018-19,
389,Crescenta Valley High,Glendale Unified,Los Angeles,631.0,143.0,27.0,27.0,26.0,26.0,124,86.71,2018-19,
390,Crossroads Alternative Education Center,Los Banos Unified,Merced,35.0,0.0,,,,,,,2018-19,
391,Crossroads Charter,Armona Union Elementary,Kings,38.0,0.0,,,,,,,2018-19,
392,Crossroads High,Mt. Diablo Unified,Contra Costa,25.0,0.0,,,,,,,2018-19,
393,Crossroads High (Alternative),Newark Unified,Alameda,17.0,0.0,,,,,,,2018-19,
394,Culver City High,Culver City Unified,Los Angeles,526.0,147.0,24.0,24.0,22.0,23.0,94,63.95,2018-19,
395,Culver Park High,Culver City Unified,Los Angeles,26.0,1.0,,,,,*,*,2018-19,
396,Cupertino High,Fremont Union High,Santa Clara,625.0,209.0,29.0,30.0,30.0,29.0,200,95.69,2018-19,
397,Cypress Charter High,Live Oak Elementary,Santa Cruz,30.0,0.0,,,,,,,2018-19,
398,Cypress High,Anaheim Union High,Orange,713.0,105.0,26.0,25.0,26.0,25.0,86,81.90,2018-19,
399,Da Vinci Charter Academy,Davis Joint Unified,Yolo,88.0,11.0,,,,,*,*,2018-19,
400,Da Vinci Communications,Wiseburn Unified,Los Angeles,94.0,44.0,17.0,16.0,17.0,17.0,5,11.36,2018-19,
401,Da Vinci Design,Wiseburn Unified,Los Angeles,164.0,33.0,19.0,20.0,18.0,18.0,10,30.30,2018-19,
402,Da Vinci RISE High,Los Angeles County Office of Education,Los Angeles,45.0,0.0,,,,,,,2018-19,
403,Da Vinci Science,Wiseburn Unified,Los Angeles,159.0,43.0,25.0,24.0,22.0,23.0,28,65.12,2018-19,
404,Dana Hills High,Capistrano Unified,Orange,669.0,213.0,27.0,27.0,26.0,26.0,193,90.61,2018-19,
405,Daniel Pearl Journalism & Communications Magnet,Los Angeles Unified,Los Angeles,71.0,23.0,24.0,24.0,22.0,22.0,14,60.87,2018-19,
406,David Starr Jordan Senior High,Los Angeles Unified,Los Angeles,87.0,16.0,18.0,16.0,17.0,18.0,5,31.25,2018-19,
407,Davis School for Independent Study,Davis Joint Unified,Yolo,22.0,1.0,,,,,*,*,2018-19,
408,Davis Senior High,Davis Joint Unified,Yolo,569.0,144.0,28.0,28.0,28.0,27.0,135,93.75,2018-19,
409,De Anza High,West Contra Costa Unified,Contra Costa,332.0,55.0,20.0,19.0,18.0,19.0,19,34.55,2018-19,
410,Decoto School for Independent Study,New Haven Unified,Alameda,52.0,0.0,,,,,,,2018-19,
411,Deer Valley High,Antioch Unified,Contra Costa,533.0,47.0,23.0,21.0,22.0,21.0,23,48.94,2018-19,
412,Dehesa Charter,Dehesa Elementary,San Diego,31.0,2.0,,,,,*,*,2018-19,
413,Del Campo High,San Juan Unified,Sacramento,371.0,36.0,22.0,22.0,21.0,20.0,18,50.00,2018-19,
414,Del Lago Academy - Campus of Applied Science,Escondido Union High,San Diego,178.0,65.0,22.0,21.0,21.0,22.0,37,56.92,2018-19,
415,Del Mar High,Campbell Union High,Santa Clara,290.0,67.0,21.0,20.0,19.0,21.0,29,43.28,2018-19,
416,Del Norte High,Del Norte County Unified,Del Norte,203.0,5.0,,,,,*,*,2018-19,
417,Del Norte High,Poway Unified,San Diego,515.0,211.0,28.0,28.0,27.0,27.0,186,88.15,2018-19,
418,Del Oro High,Placer Union High,Placer,410.0,110.0,25.0,24.0,24.0,24.0,86,78.18,2018-19,
419,Delano High,Delano Joint Union High,Kern,339.0,110.0,18.0,17.0,19.0,18.0,28,25.45,2018-19,
420,Delhi High,Delhi Unified,Merced,167.0,68.0,18.0,17.0,17.0,18.0,15,22.06,2018-19,
421,Delta Charter,Santa Cruz City High,Santa Cruz,66.0,1.0,,,,,*,*,2018-19,
422,Delta Charter,New Jerusalem Elementary,San Joaquin,71.0,3.0,,,,,*,*,2018-19,
423,Delta Charter Online,New Jerusalem Elementary,San Joaquin,32.0,0.0,,,,,,,2018-19,
424,Delta High,River Delta Joint Unified,Sacramento,50.0,5.0,,,,,*,*,2018-19,
425,Delta Keys Charter #2,New Jerusalem Elementary,San Joaquin,108.0,0.0,,,,,,,2018-19,
426,Denair Charter Academy,Denair Unified,Stanislaus,83.0,0.0,,,,,,,2018-19,
427,Denair High,Denair Unified,Stanislaus,60.0,3.0,,,,,*,*,2018-19,
428,Desert Hot Springs High,Palm Springs Unified,Riverside,417.0,46.0,17.0,16.0,16.0,18.0,3,6.52,2018-19,
429,Desert Junior-Senior High,Muroc Joint Unified,Kern,84.0,8.0,,,,,*,*,2018-19,
430,Desert Learning Academy,Palm Springs Unified,Riverside,37.0,0.0,,,,,,,2018-19,
431,Desert Mirage High,Coachella Valley Unified,Riverside,459.0,97.0,17.0,16.0,17.0,17.0,12,12.37,2018-19,
432,Desert Sands Charter,Antelope Valley Union High,Los Angeles,88.0,2.0,,,,,*,*,2018-19,
433,Design Science Middle College High,Fresno Unified,Fresno,63.0,58.0,21.0,20.0,21.0,20.0,23,39.66,2018-19,
434,Design Tech High,San Mateo Union High,San Mateo,120.0,33.0,29.0,29.0,26.0,28.0,29,87.88,2018-19,
435,Diamond Bar High,Walnut Valley Unified,Los Angeles,749.0,188.0,28.0,28.0,29.0,27.0,165,87.77,2018-19,
436,Diamond Ranch High,Pomona Unified,Los Angeles,377.0,82.0,23.0,22.0,21.0,22.0,47,57.32,2018-19,
437,Diamond Technology Institute,Pajaro Valley Unified,Santa Cruz,11.0,7.0,,,,,*,*,2018-19,
438,Diego Hills Central Public Charter,Dehesa Elementary,San Diego,106.0,0.0,,,,,,,2018-19,
439,Diego Rivera Learning Complex Green Design STEAM Academy,Los Angeles Unified,Los Angeles,103.0,6.0,,,,,*,*,2018-19,
440,Diego Valley East Public Charter,Julian Union Elementary,San Diego,78.0,0.0,,,,,,,2018-19,
441,Dimensions Collaborative,San Diego County Office of Education,San Diego,29.0,0.0,,,,,,,2018-19,
442,Dinuba High,Dinuba Unified,Tulare,423.0,96.0,18.0,16.0,17.0,19.0,18,18.75,2018-19,
443,Discovery Charter Preparatory School #2,Los Angeles Unified,Los Angeles,60.0,11.0,,,,,*,*,2018-19,
444,Discovery High,Natomas Unified,Sacramento,74.0,6.0,,,,,*,*,2018-19,
445,Dixon High,Dixon Unified,Solano,246.0,67.0,21.0,20.0,21.0,20.0,34,50.75,2018-19,
446,Dominguez High,Compton Unified,Los Angeles,391.0,268.0,15.0,14.0,16.0,15.0,13,4.85,2018-19,
447,Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432.0,22.0,21.0,22.0,21.0,21.0,9,40.91,2018-19,
448,Don Pedro High,Big Oak Flat-Groveland Unified,Tuolumne,18.0,0.0,,,,,,,2018-19,
449,Dos Palos High,Dos Palos Oro Loma Joint Unified,Merced,159.0,2.0,,,,,*,*,2018-19,
